#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,GameClockIn,Strength,Smith,Weber,Jewell,Lysyj,Red Comments,Jewell Comments
499,"GM26 2019-02-01 Colgate at RPI P2, Entry 021",Entry,00:19:36.02,00:19:46.00,00:00:09.9770000,2,6:49,Even,,,,,,
500,"GM26 2019-02-01 Colgate at RPI P2, Offensive Zone 017",Offensive Zone,00:19:38.33,00:19:54.05,00:00:15.5320000,2,6:48,Even,,,,,,
501,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 051",Opponent Possession,00:19:38.48,00:19:39.25,00:00:00.6170000,2,06:50,Even,,,,,,
502,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 052",Opponent Possession,00:19:38.52,00:19:39.29,00:00:00.6170000,2,06:50,Even,,,,,,
503,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 053",RPI Possession,00:19:39.53,00:19:50.32,00:00:10.6610000,2,06:49,Even,,,,,,
504,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 054",RPI Possession,00:19:39.57,00:19:50.36,00:00:10.6610000,2,06:49,Even,,,,,,
505,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 048",TeamShift,00:19:43.03,00:19:47.33,00:00:04.5050000,2,06:44,Even,,,,,,
506,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 089",Shift_TOI,00:19:43.42,00:20:46.01,00:01:02.3120000,2,06:43,Even,,,,,,
507,"GM26 2019-02-01 Colgate at RPI P2, Opponent Breakout 015",Opponent Breakout,00:19:46.06,00:20:08.23,00:00:22.2890000,2,6:39,Even,,,,,,
508,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 049",TeamShift,00:19:47.49,00:19:52.22,00:00:04.5550000,2,06:39,Even,,,,,,
509,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 090",Shift_TOI,00:19:48.01,00:20:40.11,00:00:52.1690000,2,06:39,Even,,,,,,
510,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 053",Opponent Possession,00:19:51.15,00:20:10.58,00:00:19.7030000,2,06:38,Even,,,,,,
511,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 054",Opponent Possession,00:19:51.19,00:20:11.02,00:00:19.7030000,2,06:38,Even,,,,,,
512,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 050",TeamShift,00:19:52.15,00:19:57.08,00:00:04.8880000,2,06:35,Even,,,,,,
513,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 091",Shift_TOI,00:19:52.47,00:20:40.11,00:00:47.4140000,2,06:34,Even,,,,,,
514,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 092",Shift_TOI,00:19:54.09,00:20:45.24,00:00:51.2510000,2,06:33,Even,,,,,,
515,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 093",Shift_TOI,00:19:57.18,00:20:40.11,00:00:42.8930000,2,06:30,Even,,,,,,
516,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 051",TeamShift,00:19:57.25,00:20:27.37,00:00:30.1970000,2,06:30,Even,,,,,,
517,"GM26 2019-02-01 Colgate at RPI P2, Opponent Entry 020",Opponent Entry,00:20:01.42,00:20:11.41,00:00:09.9770000,2,6:23,Even,,,,,,
518,"GM26 2019-02-01 Colgate at RPI P2, Opponent Forecheck 011",Opponent Forecheck,00:20:03.25,00:20:15.38,00:00:12.2120000,2,6:23,Even,,BO; teach 17 watch getting straight legged return,,,,
519,"GM26 2019-02-01 Colgate at RPI P2, Breakout 020",Breakout,00:20:07.39,00:20:15.03,00:00:07.3910000,2,6:17,Even,,,,,,
520,"GM26 2019-02-01 Colgate at RPI P2, Entry 022",Entry,00:20:09.37,00:20:19.35,00:00:09.9770000,2,6:15,Even,,,,,,
521,"GM26 2019-02-01 Colgate at RPI P2, Forecheck 016",Forecheck,00:20:11.20,00:20:26.36,00:00:15.2650000,2,6:15,Even,,,,,,
522,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 055",RPI Possession,00:20:11.38,00:20:26.03,00:00:14.4140000,2,06:18,Even,,,,,,
523,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 056",RPI Possession,00:20:11.42,00:20:26.07,00:00:14.4140000,2,06:18,Even,,,,,,
524,"GM26 2019-02-01 Colgate at RPI P2, Shot Against 015",Shot Against,00:20:15.36,00:20:29.35,00:00:13.9810000,2,6:02,Even,,LRA; teach 06 can be up level w/opp,,,,
525,"GM26 2019-02-01 Colgate at RPI P2, Opponent Breakout 016",Opponent Breakout,00:20:18.37,00:20:26.07,00:00:07.4910000,2,6:06,Even,,,,,,
526,"GM26 2019-02-01 Colgate at RPI P2, Opponent Entry 021",Opponent Entry,00:20:19.31,00:20:29.30,00:00:09.9770000,2,6:05,Even,,,,,,
527,"GM26 2019-02-01 Colgate at RPI P2, Defensive Zone 016",Defensive Zone,00:20:23.35,00:20:32.51,00:00:09.2590000,2,6:03,Even,17 DZR GOOD. HEAD ON A SWIVEL,,,,,
528,"GM26 2019-02-01 Colgate at RPI P2, Jewell 031",Jewell,00:20:24.06,00:20:28.51,00:00:04.7380000,2,,,,,31;,,,
529,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 055",Opponent Possession,00:20:26.40,00:20:40.01,00:00:13.3630000,2,06:03,Even,,,,,,
530,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 056",Opponent Possession,00:20:26.44,00:20:40.05,00:00:13.3630000,2,06:03,Even,,,,,,
531,"GM26 2019-02-01 Colgate at RPI P2, Shot Against 016",Shot Against,00:20:48.42,00:21:02.41,00:00:13.9810000,2,5:58,Even,,,,,,
532,"GM26 2019-02-01 Colgate at RPI P2, Faceoff 011",Faceoff,00:20:57.25,00:21:10.24,00:00:12.9800000,2,6:00,Even,,,,,,
533,"GM26 2019-02-01 Colgate at RPI P2, Defensive Zone 017",Defensive Zone,00:20:58.02,00:21:12.34,00:00:14.5310000,2,5:57,Even,,,,,,
534,"GM26 2019-02-01 Colgate at RPI P2, SyncPoint 021",SyncPoint,00:20:58.05,00:21:00.06,00:00:02.0020000,2,06:00,Even,,,,,,
535,"GM26 2019-02-01 Colgate at RPI P2, SyncPoint 022",SyncPoint,00:20:58.09,00:21:00.10,00:00:02.0020000,2,06:00,Even,,,,,,
536,"GM26 2019-02-01 Colgate at RPI P2, Jewell 032",Jewell,00:21:01.03,00:21:11.31,00:00:10.4770000,2,,,,,BO; GOOD SS NET 27,,,
537,"GM26 2019-02-01 Colgate at RPI P2, Breakout 021",Breakout,00:21:04.36,00:21:11.52,00:00:07.2740000,2,5:49,Even,,,,,,
538,"GM26 2019-02-01 Colgate at RPI P2, Entry 023",Entry,00:21:07.38,00:21:17.37,00:00:09.9770000,2,5:46,Even,,,,,,
539,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 057",RPI Possession,00:21:08.39,00:21:18.26,00:00:09.7760000,2,05:50,Even,,,,,,
540,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 058",RPI Possession,00:21:08.43,00:21:18.30,00:00:09.7760000,2,05:50,Even,,,,,,
