#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,Player Participation,GameClockIn,Strength,ScoutedPlayer,NonScoutedPlayer,Win/Loss,Chance?,Shot Location,Zone,FaceOffLRC,Entry Origin,Entry,Successful?,Breakout
96,"GM30 2019-02-16 Quinnipiac at RPI P3, RPI Possession 008",RPI Possession,00:04:27.26,00:04:28.53,00:00:01.4510000,3,,17:15,Even,,,,,,,,,,,
97,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Possession 009",Opponent Possession,00:04:29.03,00:04:33.47,00:00:04.7380000,3,,17:13,Even,,,,,,,,,,,
98,"GM30 2019-02-16 Quinnipiac at RPI P3, NZ Offense 001",NZ Offense,00:04:29.15,00:04:41.27,00:00:12.1960000,3,"09 Moore, 11 Leppanen, 12 Zieky, 23 Johnson, 24 Reilly, 31 Savory",17:09,Even,,,,,,,,,,,
99,"GM30 2019-02-16 Quinnipiac at RPI P3, Entry 004",Entry,00:04:33.47,00:04:43.46,00:00:09.9770000,3,"09 Moore, 11 Leppanen, 12 Zieky, 23 Johnson, 24 Reilly, 31 Savory",17:03,Even,,,,,,,,nz,dump,no,
100,"GM30 2019-02-16 Quinnipiac at RPI P3, RPI Possession 009",RPI Possession,00:04:33.59,00:04:38.11,00:00:04.1880000,3,,17:08,Even,,,,,,,,,,,
101,"GM30 2019-02-16 Quinnipiac at RPI P3, TeamShift 011",TeamShift,00:04:35.09,00:04:42.33,00:00:07.3910000,3,"09 Moore, 11 Leppanen, 12 Zieky, 23 Johnson, 24 Reilly, 31 Savory",17:06,Even,,,,,,,,,,,
102,"GM30 2019-02-16 Quinnipiac at RPI P3, Forecheck 002",Forecheck,00:04:35.28,00:04:43.16,00:00:07.7910000,3,"06 Ferner, 09 Moore, 11 Leppanen, 12 Zieky, 23 Johnson, 24 Reilly, 31 Savory",17:03,Even,,,,,,,,,,,
103,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 022",Shift_TOI,00:04:35.39,00:05:36.53,00:01:01.2280000,3,"11 Leppanen, 13 Lee, 22 Ott, 31 Savory",17:05,Even,11 Leppanen,,,,,,,,,,
104,"GM30 2019-02-16 Quinnipiac at RPI P3, NZ Forecheck 003",NZ Forecheck,00:04:37.18,00:04:49.10,00:00:11.8790000,3,"06 Ferner, 09 Moore, 11 Leppanen, 12 Zieky, 24 Reilly, 28 Hallbauer, 31 Savory",17:01,Even,,,,,,,,,,,
105,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Possession 010",Opponent Possession,00:04:38.25,00:04:49.36,00:00:11.1950000,3,,17:04,Even,,,,,,,,,,,
