"Game","Period","Time","Event","Poss","EventPoss","PossID","EventSeq"
1,1,0.022619444,"Faceoff","Colgate","",33,21
1,1,0.022643403,"NZ_forecheck","Colgate","",33,22
1,1,0.022657176,"Opponent_entry","Colgate","",33,23
1,1,0.02268634,"","Colgate","",33,24
1,1,0.022700347,"Defensive_zone","Colgate","",33,25
1,1,0.02288206,"Forecheck","Colgate","",33,26
1,1,0.023014699,"Opponent_forecheck","Colgate","",33,27
1,1,0.023022338,"Opponent_entry","Colgate","",33,28
1,1,0.023093519,"Zone_clear","Colgate","",33,29
1,1,0.023125347,"Breakout","Colgate","",33,30
1,1,0.023209028,"Forecheck","Colgate","",33,31
1,1,0.023302662,"Opponent_entry","Colgate","",33,32
1,1,0.02357662,"Faceoff","Colgate","",33,33
1,1,0.023582407,"NZ_forecheck","Colgate","",33,34
1,1,0.02361412,"Opponent_forecheck","Colgate","",33,35
1,1,0.023615972,"Opponent_entry","Colgate","",33,36
1,1,0.02362303,"","Colgate","",33,37
1,1,0.023638079,"Goalie_touch","Colgate","",33,38
1,1,0.02366088,"Zone_clear","Colgate","",33,39
1,1,0.02367095,"","RPI","",33,1
1,1,0.023673032,"Zone_clear","RPI","",33,2
1,1,0.02370764,"","Colgate","",34,1
1,1,0.023721412,"Defensive_zone","Colgate","",34,2
1,1,0.02389861,"Shot_against","Colgate","Colgate",34,3
1,1,0.02390949,"Shot_against","Colgate","Colgate",34,4
1,1,0.024016551,"Breakout","Colgate","",34,5
1,1,0.024039,"","RPI","",34,1
1,1,0.024042361,"Entry","RPI","",34,2
1,1,0.024056944,"Offensive_zone","RPI","",34,3
1,1,0.024090162,"Giveaway","RPI","RPI",34,4
1,1,0.024136,"","Colgate","",35,1
1,1,0.024158102,"Opponent_breakout","Colgate","",35,2
1,1,0.024190046,"Goalie_touch","Colgate","",35,3
1,1,0.024192708,"Opponent_forecheck","Colgate","",35,4
1,1,0.024196065,"Opponent_entry","Colgate","",35,5
1,1,0.024213426,"Breakout","Colgate","",35,6
1,1,0.02423762,"","RPI","",35,1
1,1,0.024242477,"Entry","RPI","",35,2
1,1,0.024252778,"Offensive_zone","RPI","",35,3
1,1,0.02429132,"Shot_for","RPI","RPI",35,4
1,1,0.024320023,"Opponent_breakout","RPI","",35,5
1,1,0.02433252,"","Colgate","",36,1
1,1,0.024363889,"Opponent_forecheck","Colgate","",36,2
1,1,0.024392593,"Breakout","Colgate","",36,3
1,1,0.02439873,"","RPI","",36,1
1,1,0.024537037,"Forecheck","RPI","",36,2
1,1,0.02453912,"Entry","RPI","",36,3
1,1,0.02460556,"","Colgate","",37,1
1,1,0.024612616,"Opponent_breakout","Colgate","",37,2
1,1,0.024643634,"Opponent_entry","Colgate","",38,3
1,2,0.000580208,"Faceoff","RPI","",1,1
1,2,0.000614352,"NZ_offense","RPI","",1,2
1,2,0.000624074,"","RPI","",1,3
1,2,0.000630208,"Forecheck","RPI","",1,4
1,2,0.000649884,"Entry","RPI","",1,5
1,2,0.000663657,"Offensive_zone","RPI","",1,6
1,2,0.000684144,"Giveaway","RPI","RPI",1,7
1,2,0.000700347,"","Colgate","",1,1
1,2,0.00070625,"Opponent_breakout","Colgate","",1,2
1,2,0.000730208,"Opponent_entry","Colgate","",1,3
1,2,0.000747454,"Defensive_zone","Colgate","",1,4
1,2,0.000779051,"Shot_against","Colgate","Colgate",1,5
1,2,0.00110162,"Defensive_zone","Colgate","",1,6
1,2,0.001103241,"Faceoff","Colgate","",1,7
1,2,0.001139005,"Shot_against","Colgate","Colgate",1,8
1,2,0.001140046,"","Colgate","",1,9
1,2,0.001383102,"NZ_forecheck","Colgate","",1,10
1,2,0.001450579,"Opponent_forecheck","Colgate","",1,11
1,2,0.001452546,"Opponent_entry","Colgate","",1,12
1,2,0.001517593,"Defensive_zone","Colgate","",1,13
1,2,0.001580556,"Breakout","Colgate","",1,14
1,2,0.001591782,"Shot_against","Colgate","Colgate",1,15
1,2,0.001614583,"Forecheck","Colgate","",1,16
1,2,0.001621528,"Entry","Colgate","",1,17
1,2,0.001771644,"Opponent_breakout","Colgate","",1,18
1,2,0.001807292,"NZ_offense","Colgate","",1,19
1,2,0.001830903,"NZ_forecheck","Colgate","",1,20
1,2,0.001867824,"Opponent_breakout","Colgate","",1,21
1,2,0.002029745,"Opponent_forecheck","Colgate","",1,22
1,2,0.002031481,"Opponent_entry","Colgate","",1,23
1,2,0.00205,"Breakout","Colgate","",1,24
1,2,0.002073727,"Entry","Colgate","",1,25
1,2,0.002084722,"Offensive_zone","Colgate","",1,26
1,2,0.002085532,"","RPI","",2,1
1,2,0.002129051,"Shot_for","RPI","RPI",2,2
1,2,0.002249074,"Opponent_breakout","RPI","",2,3
1,2,0.002296875,"Forecheck","RPI","",2,4
1,2,0.002303472,"Entry","RPI","",2,5
1,2,0.002443981,"","Colgate","",2,1
1,2,0.002355208,"Takeaway","Colgate","Colgate",2,2
1,2,0.002448032,"NZ_forecheck","Colgate","",2,3
1,2,0.002766435,"Faceoff","Colgate","",2,4
1,2,0.002791204,"NZ_offense","Colgate","",2,5
1,2,0.00281713,"Forecheck","Colgate","",2,6
1,2,0.002825694,"Entry","Colgate","",2,7
1,2,0.002850579,"NZ_offense","Colgate","",2,8
1,2,0.002885417,"Forecheck","Colgate","",2,9
1,2,0.002887963,"Entry","Colgate","",2,10
1,2,0.002893866,"","RPI","",3,1
1,2,0.002918634,"Offensive_zone","RPI","",3,2
1,2,0.002957523,"Shot_for","RPI","RPI",3,3
1,2,0.00301412,"Forecheck","RPI","",3,4
1,2,0.003085069,"Offensive_zone","RPI","",3,5
1,2,0.003184954,"","Colgate","",3,1
1,2,0.003194444,"Takeaway","Colgate","Colgate",3,2
1,2,0.003201273,"Opponent_breakout","Colgate","",3,3
1,2,0.003209954,"Takeaway","Colgate","Colgate",3,4
1,2,0.003221065,"","RPI","",4,1
1,2,0.003224421,"NZ_offense","RPI","",4,2
1,2,0.00328912,"Entry","RPI","",4,3
1,2,0.003299769,"","Colgate","",4,1
1,2,0.003325231,"Forecheck","Colgate","",4,2
1,2,0.003337153,"Offensive_zone","Colgate","",4,3
1,2,0.003452083,"Takeaway","Colgate","Colgate",4,4
1,2,0.003558449,"Opponent_breakout","Colgate","",4,5
1,2,0.003591551,"","RPI","",5,1
1,2,0.003591782,"NZ_offense","RPI","",5,2
1,2,0.003629051,"Entry","RPI","",5,3
1,2,0.003639583,"Offensive_zone","RPI","",5,4
1,2,0.003691782,"Shot_for","RPI","RPI",5,5
1,2,0.003729514,"","Colgate","",5,1
1,2,0.003743981,"Opponent_breakout","Colgate","",5,2
1,2,0.003774653,"NZ_offense","Colgate","",5,3
1,2,0.003786921,"Entry","Colgate","",5,4
1,2,0.003789352,"","RPI","",6,1
1,2,0.00381169,"Offensive_zone","RPI","",6,2
1,2,0.003933912,"Shot_for","RPI","RPI",6,3
